Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
,,,,,,,,,,,,,,,,,,,,,,,
Agung,-8.342,115.108,March 1963,,3/16/1963 21:30,3142,17.5,5,5.20E+11,2.60E+11,5,1.5,4.3,2.7,0.01383084,12.4570742,0.00122387,280.8706994,698.212984,70.02411047,0.006535723," Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)",Large uncertainty on erupted mass related to quality of isopach map; we assigned a 50% uncertainty but a larger value may be appropriate.
,,,May 1963,,5/16/1963 8:30,3142,16.5,5,3.30E+11,1.70E+11,4.5,1,4.3,2.7,0.012771851,8.050964887,0.000707262,283.9797501,698.0522852,23.63253613,0.002720645," Meinel and Meinel (1963), Zen and Hadikusumo (1964), Mossop (1964), Self and King (1996), Self and Rampino (2012)",Large uncertainty on erupted mass related to quality of isopach map; we assigned a 50% uncertainty but a larger value may be appropriate.
,,,,,,,,,,,,,,,,,,,,,,,
Anatahan,16.35,145.67,2003,,5/10/2003 2:20,764,8.25,4,2.70E+10,1.30E+10,39,9,2.1,1.3,0.012084023,5.083575802,0.000826124,295.9113366,927.6187544,58.6154788,0.01097011,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005)",We assumed 50% uncertainty on erupted mass
,,,,,6/14/2003 11:00,764,2.3,0.65,9.25E+09,4.60E+09,44,4,2.1,1.3,0.011865857,3.593581738,0.00267254,296.3753691,927.877044,60.58915746,0.011679154,"Global Volcanism Program (May 2003 and June 2003), Trusdell et al (2005), Wright et al (2005), Nakada et al (2005), Pallister et al (2005)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Augustine,59.363,-153.43,2006,,1/17/2006 16:58,1252,12.2,1.5,1.73E+09,8.50E+08,0.07,0.02,3.2,1,0.016164692,3.596613571,0.000518881,268.4375258,852.3093675,66.26062631,0.002107823,"Wallace et al (2006), Webster et al (2006)",We assumed 50% uncertainty on erupted mass
,,,,,,,,,,,,,,,,,,,,,,,
Bezymianny,55.972,160.595,2006,,12/24/2006 9:17,2882,10,2,5.50E+09,1.50E+09,0.88,0.25,1.9,0.8,0.017668922,11.80974434,0.002342328,249.1424573,686.0119693,82.70606981,0.000672881,"Malik (2011), Carter et al (2011), Shcherbakov et al (2011), Moseenko and Malik (2015)",Duration based on seismic observations; 15 min uncertainty arbitrarly assumed
,,,2009,,12/16/09 21:45,2882,7,4,3.40E+09,1.70E+09,2.3333,1.167,,,0.012387315,20.3831264,0.004337102,255.6183774,691.5415872,70.99806771,0.000992417,"Global Volcanism Program (December 2009), Moiseenko (2014)","No uncertainty on erupted mass: we thus assumed a 50% uncertainty. However, note that 3.4 109kg is considered as a lower estimate by Moiseenko (2014) due to the lack of proximal and distal data."
,,,,,,,,,,,,,,,,,,,,,,,
Calbuco,-41.326,-72.614,2015 phase 1,S,4/22/2015 21:04,2003,13,2.5,5.70E+10,2.40E+10,1.5,0.25,4.5,1,0.011906714,13.75560665,0.001764093,280.3535284,800.0494472,51.6411713,0.003875869,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016)",The interpretation of the timing of deposition of tephra layers is different in Romero et al. (2016) and Castruccio et al. (2016). We followed the interpretation of Castruccio et al. (2016) which is the most recent study.
,,,2015 phase 2,S,4/23/2015 3:54,2003,15,3,3.20E+11,8.30E+10,6,0.25,4.5,1,0.01319895,14.84729828,0.001577631,281.0385167,799.010446,50.65411915,0.003966926,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016)",The interpretation of the timing of deposition of tephra layers is different in Romero et al. (2016) and Castruccio et al. (2016). We followed the interpretation of Castruccio et al. (2016) which is the most recent study.
,,,,,,,,,,,,,,,,,,,,,,,
Chikurachki,50.324,155.461,1986,,11/19/1986 5:30,1815,8,3,3.20E+11,1.60E+11,86,26,2.9,2.3,0.013606874,5.227960577,0.001037202,261.2648953,797.9824495,74.62152683,0.001461466,"Global Volcanism Program (November 1986), Belousova and Belousov (2001),  Gurenko et al (2005), personnal communication with Marina Belousova and Alexander Belousov (November 2016)",
,,,,,,,,,,,,,,,,,,,,,,,
