volcano, date, latitude, so2_output,latbin_zone,size_unit,coverage_time_years 
Mt_St_Helens,1980-05-18,46.2,775,4,2,1
Mt_St_Helens,1980-05-25,46.2,100,4,2,1
Mt_St_Helens,1980-06-13,46.2,35,4,1,0.5
Ulawun,1980-10-07,-5.05,200,3,2,1
Alaid,1981-04-27,50.858,1100,4,3,2
Pagan,1981-05-15,18.13,320,3,2,1
El_Chichon,1982-03-29,17.36,750,3,2,1
El_Chichon,1982-04-03,17.36,340,3,2,1
El_Chichon,1982-04-04,17.36,7000,3,4,3
Bezymianny,1985-07-01,55.978,10,4,1,0.5
Ruiz,1985-11-14,4.895,660,3,2,1
Augustine,1986-03-27,59.37,20,4,1,0.5
Pavlof,1986-04-19,55.42,70,4,1,0.5
Chikurachki,1986-11-20,50.325,500,4,2,1
Chikurachki,1986-12-02,50.325,250,4,2,1
Redoubt,1989-12-15,60.48,140,4,2,1
Kliuchevskoi,1990-01-30,56.057,10,4,1,0.5
Redoubt,1990-03-09,60.48,16,4,1,0.5
Pinatubo,1991-06-13,15.13,140,3,2,1
Pinatubo,1991-06-14,15.13,54,3,1,0.5
Pinatubo,1991-06-15,15.13,18000,3,5,4
Hudson,1991-08-09,-45.9,700,2,2,1
Hudson,1991-08-12,-45.9,600,2,2,1
Hudson,1991-08-15,-45.9,2700,2,3,2
Spurr,1992-06-27,61.3,250,4,2,1
Spurr,1992-08-18,61.3,300,4,2,1
Spurr,1992-09-17,61.3,250,4,2,1
Rabaul,1994-09-19,-4.271,200,3,2,1
Kliuchevskoi,1994-10-01,56.057,150,4,2,1
Ruapehu,1996-07-20,-39.28,10,2,1,0.5
Grimsvotn,1996-10-02,64.42,10,4,1,0.5
Shishaldin,1999-04-19,54.75,63,4,1,0.5
Hekla,2000-02-26,63.98,183,4,2,1
Miyakejima,2000-08-18,34.08,43,4,1,0.5
Cleveland,2001-02-19,52.82,6,4,1,0.5
Ruang,2002-09-26,2.3,80,3,1,0.5
Etna,2002-10-27,37.734,80,4,1,0.5
Reventador,2002-11-03,-0.078,84,3,1,0.5
Soufriere_Hills,2003-07-13,16.72,100,3,2,1
Sheveluch,2004-05-10,56.653,1,4,1,0.5
Manam,2004-10-24,-4.1,13,3,1,0.5
Manam,2004-10-31,-4.1,13,3,1,0.5
Grimsvotn,2004-11-02,64.42,30,4,1,0.5
Manam,2004-11-24,-4.1,111,3,2,1
Manam,2004-12-20,-4.1,38,3,1,0.5
Manam,2005-01-28,-4.1,140,3,2,1
Augustine,2006-01-29,59.37,10,4,1,0.5
Manam,2006-02-27,-4.1,50,3,1,0.5
Bezymianny,2006-05-09,55.978,5,4,1,0.5
Soufriere_Hills,2006-05-20,16.72,200,3,2,1
Tungurahua,2006-08-16,-1.467,30,3,1,0.5
Rabaul,2006-10-07,-4.271,300,3,2,1
Chaiten,2008-05-02,-42.833,7,2,1,0.5
Chaiten,2008-05-06,-42.833,4,2,1,0.5
Chaiten,2008-05-08,-42.833,3,2,1,0.5
Okmok,2008-07-12,53.42,150,4,2,1
Kasatochi,2008-08-07,52.177,2000,4,3,2
Redoubt,2009-03-23,60.48,70,4,1,0.5
Redoubt,2009-03-24,60.48,12,4,1,0.5
Redoubt,2009-03-26,60.48,17,4,1,0.5
Redoubt,2009-03-27,60.48,20,4,1,0.5
Redoubt,2009-03-28,60.48,20,4,1,0.5
Redoubt,2009-04-04,60.48,20,4,1,0.5
Sarychev_Peak,2009-06-15,48.092,1200,4,3,2
Bezymianny,2009-12-17,55.978,1,4,1,0.5
Soufriere_Hills,2010-02-12,16.72,30,3,1,0.5
Eyjafjallajokull,2010-04-14,63.63,5,4,1,0.5
Pacaya,2010-05-28,14.381,23,3,1,0.5
Sheveluch,2010-10-27,56.653,11,4,1,0.5
Merapi,2010-11-04,-7.542,300,3,2,1
Kizimen,2010-12-13,55.131,37,4,1,0.5
Grimsvotn,2011-05-21,64.42,300,4,2,1
Cordon_Caulle,2011-06-04,-40.59,200,2,2,1
Nabro,2011-06-13,13.37,681,3,2,1
Nabro,2011-06-14,13.37,160,3,2,1
Nabro,2011-06-15,13.37,700,3,2,1
Nabro,2011-06-16,13.37,434,3,2,1
Bezymianny,2012-09-01,55.978,3,4,1,0.5
Pavlof,2013-06-25,55.42,5,4,1,0.5
Kelut,2014-02-13,-7.93,200,3,2,1
Sangeang_Api,2014-05-30,-8.18,100,3,2,1
Rabaul,2014-08-29,-4.271,31,3,1,0.5
Sheveluch,2014-09-24,56.653,5,4,1,0.5
Calbuco,2015-04-22,-41.326,400,2,2,1
Manam,2015-07-31,-4.1,50,3,1,0.5
Cotopaxi,2015-08-14,-0.677,20,3,1,0.5
