latbin_zone,binned_date,binned_mass_so2 
2,1991-08-15,4000.0
2,2008-05-02,7.0
2,2008-05-06,4.0
2,2008-05-08,3.0
2,2011-06-04,200.0
3,1980-10-07,200.0
3,1981-05-15,320.0
3,1982-04-04,8750.0
3,1991-06-15,18394.0
3,2003-07-13,126.0
3,2004-11-24,149.0
3,2005-01-28,190.0
3,2006-05-20,230.0
3,2006-10-07,300.0
3,2010-11-04,300.0
3,2011-06-13,841.0
3,2011-06-15,1434.0
3,2015-07-31,50.0
3,2015-08-14,20.0
4,1980-05-18,910.0
4,1981-04-27,1100.0
4,1986-11-20,750.0
4,1990-01-30,10.0
4,1990-03-09,16.0
4,1992-06-27,250.0
4,1992-08-18,300.0
4,1992-09-17,250.0
4,2000-02-26,232.0
4,2004-05-10,1.0
4,2004-11-02,30.0
4,2008-08-07,2159.0
4,2009-06-15,1557.0
4,2014-09-24,5.0
