volcano,date,lat,lon,v_alt,vei,so2(kt),tropo,alt,region,v0,m0
Mt_St_Helens,1980-05-18,46.2,-122.18,2.549,5,775,12.14263725,27,9,102272212,344940708.8
Mt_St_Helens,1980-05-25,46.2,-122.18,2.549,3,100,12.14263725,14,9,5866168.841,19785241.75
Mt_St_Helens,1980-06-13,46.2,-122.18,2.549,3,35,12.1426377,16,9,11646785.27,39281934.85
Lopevi,1980-08-18,-16.507,168.346,1.413,3,38,16.08855273,11.413,4,504011.9781,1962496.288
Etna,1980-09-02,37.734,15.004,3.35,3,61,16.45836719,9,10,111392.2158,342901.5722
Ulawun,1980-10-07,-5.05,151.33,2.334,3,200,16.22321191,20,4,6995850.254,24377115.92
Alaid,1981-04-27,50.858,155.55,2.339,4,1100,10.12392871,15,11,7202368.459,24648022.71
Pagan,1981-05-15,18.13,145.8,0.57,4,320,16.33807227,20,5,8152035.429,34747361.71
Bezymianny,1981-06-13,55.978,160.587,2.882,3,10,10.70844531,8,11,282586.1671,909445.5119
El_Chichon,1982-03-29,17.36,-93.228,1.06,4,750,16.25111523,17,6,6282643.309,25437345.3
El_Chichon,1982-04-03,17.36,-93.228,1.06,4,340,16.25111523,17,6,6282643.309,25437345.3
El_Chichon,1982-04-04,17.36,-93.228,1.06,5,7000,16.25111523,28,6,91955922.99,372313762
Soputan,1982-11-10,1.108,124.725,1.784,3,13,16.35107715,11.784,4,966048.9887,3588181.09
Colo,1983-07-24,-0.17,121.608,0.507,4,200,15.96856152,15,4,2348186.096,10154948.09
Pavlof,1983-11-15,55.42,-161.9,2.519,3,50,8.229461914,7.5,12,112505.1212,364244.2533
Soputan,1984-05-24,1.108,124.725,1.784,3,166,16.39231641,16,4,2679420.914,9964070.944
Soputan,1984-08-31,1.108,124.725,1.784,3,26,16.0407373,11.784,4,791991.6994,2943344.036
Mayon,1984-09-13,13.257,123.685,2.462,3,50,15.96859863,12.462,5,978473.2687,3362305.819
Bezymianny,1984-10-13,55.978,160.587,2.882,3,10,10.82717969,9,11,704740.0315,2250167.657
Bezymianny,1985-07-01,55.978,160.587,2.882,3,10,10.75532617,12.882,11,2884686.911,9296654.264
Ruiz,1985-11-14,4.895,-75.323,5.321,3,660,16.31807227,25,3,19319386.29,46620401.15
Augustine,1986-03-27,59.37,-153.42,1.252,4,20,9.093847656,15,12,7178553.646,28015207.61
Pavlof,1986-04-19,55.42,-161.9,2.519,3,70,10.06556836,16,12,9595583.234,31936421.87
Oshima,1986-11-19,34.73,139.38,0.758,3,22,12.1831123,10.758,8,984010.953,4165580.696
Chikurachki,1986-11-20,50.325,155.458,1.816,3,500,10.99148438,11,11,2155567.515,7916396.271
Chikurachki,1986-12-02,50.325,155.458,1.816,3,250,10.99148438,11,11,2155567.515,7916396.271
Kliuchevskoi,1987-02-19,56.057,160.638,4.835,3,10,9.849329102,9,11,186504.2861,456207.2751
Banda_Api,1988-05-09,-4.525,129.871,0.64,3,250,16.82311133,16,4,2305432.507,9789318.372
Makian,1988-07-29,0.32,127.4,1.357,3,50,16.17825977,16,4,2872209.175,11230651.3
Redoubt,1989-12-15,60.48,-152.75,3.108,3,140,9.083994141,12,12,1342024.676,4068352.093
Kliuchevskoi,1990-01-30,56.057,160.638,4.835,3,10,9.491318359,10,11,1343666.067,3251184.178
Kelut,1990-02-11,-7.93,112.308,1.731,4,150,16.80992578,12,4,426787.5252,1595175.816
Redoubt,1990-03-09,60.48,-152.75,3.108,3,16,9.009037109,13.108,12,3039452.869,9217780.332
Pinatubo,1991-06-13,15.13,120.35,1.486,4,140,16.51465234,19,5,5783642.41,22293034.57
Pinatubo,1991-06-14,15.13,120.35,1.486,4,54,16.51465234,25,5,31751239.37,122385069.2
Pinatubo,1991-06-15,15.13,120.35,1.486,6,18000,16.51465234,25,5,31751239.37,122385069.2
Hudson,1991-08-09,-45.9,-72.97,1.905,3,700,9.676379883,12,1,3375586.226,12077670.85
Hudson,1991-08-12,-45.9,-72.97,1.905,5,600,9.676379883,16,1,15646556.52,55982560.35
Hudson,1991-08-15,-45.9,-72.97,1.905,5,2700,9.676379883,18,1,26332544.31,94216465.42
Lokon_Empung,1991-10-25,1.358,124.792,1.58,3,20,16.46797266,11.58,4,1063701.577,4047047.129
Spurr,1992-06-27,61.3,-152.25,3.374,4,250,10.22699316,18,12,6132938.612,18476593.49
Spurr,1992-08-18,61.3,-152.25,3.374,3,300,9.745229492,13.5,12,4645385.247,13882491.34
Spurr,1992-09-17,61.3,-152.25,3.374,3,250,9.327021484,15,12,6244505.519,18375068.87
Lascar,1993-04-19,-23.37,-67.73,5.592,4,450,16.10163086,16,1,7516707.215,17486970.95
Rinjani,1994-06-03,-8.42,116.47,3.726,3,10,16.55805469,10,4,102566.0286,302402.0372
Rabaul,1994-09-19,-4.271,152.203,0.688,4,200,16.19727051,20,4,7552908.72,31889947.53
Kliuchevskoi,1994-10-01,56.057,160.638,4.835,4,150,10.99433301,15,11,4406877.022,10959742.97
Ruapehu,1996-06-17,-39.28,175.57,2.797,3,80,10.86670508,10,2,1168530.106,3803001.856
Ruapehu,1996-07-20,-39.28,175.57,2.797,3,10,10.54286426,11,2,2341370.073,7557519.337
Grimsvotn,1996-10-02,64.42,-17.33,1.725,3,10,9.036708008,10,13,664271.3761,2435832.512
Manam,1997-02-08,-4.1,145.061,1.807,3,3,16.58620703,16,4,1735954.347,6433006.079
Popocatepetl,1997-07-03,19.023,-98.622,5.465,3,7,15.60075586,13,6,226826.9726,539706.4133
Soufriere_Hills,1997-12-26,16.72,-62.18,0.915,3,31,16.78925781,11,6,582410.1582,2402527.395
Soufriere_Hills,1998-07-03,16.72,-62.18,0.915,3,2,15.60532227,12,6,801897.6029,3301752.403
Manam,1998-10-05,-4.1,145.061,1.807,3,17,16.41349609,16,4,1425807.963,5281075.44
Popocatepetl,1998-11-25,19.023,-98.622,5.465,3,10,16.49687891,15.465,6,1070081.457,2543628.92
Shishaldin,1999-04-19,54.75,-163.97,2.857,3,63,9.607892578,13.7,12,3361449.714,10715927.34
Soufriere_Hills,1999-07-20,16.72,-62.18,0.915,3,16,15.4855498,11.1,6,640887.4769,2637532.131
Tungurahua,1999-11-16,-1.467,-78.442,5.023,3,6,16.35735352,15.023,3,363086.6349,909567.2785
Hekla,2000-02-26,63.98,-19.7,1.491,3,183,9.136457031,11,13,1402472.591,5292048.028
Soufriere_Hills,2000-03-20,16.72,-62.18,0.915,3,3.4,16.52546094,9,6,399043.8373,1642580.61
Miyakejima,2000-08-18,34.08,139.53,0.815,3,43,14.17661523,16,8,4676493.933,19495490.64
Ulawun,2000-09-28,-5.05,151.33,2.334,4,37,16.36444141,16,4,1380795.334,4807174.237
Popocatepetl,2000-12-15,19.023,-98.622,5.465,3,23,16.83014063,15.465,6,922152.1244,2192674.39
Popocatepetl,2000-12-19,19.023,-98.622,5.465,3,26,16.58202148,15.465,6,1289495.422,3065559.874
Popocatepetl,2001-01-23,19.023,-98.622,5.465,3,17,16.82573633,12,6,382819.4928,905997.2901
Cleveland,2001-02-19,52.82,-169.95,1.73,3,6,9.467666992,10,12,669990.5836,2448339.765
Popocatepetl,2001-04-29,19.023,-98.622,5.465,3,4,15.83642285,9,6,1403333.774,3337017.413
Ulawun,2001-04-30,-5.05,151.33,2.334,3,30,16.61507813,14,4,774530.9534,2698183.156
Soufriere_Hills,2001-07-30,16.72,-62.18,0.915,3,33,16.04125195,10.915,6,499040.2932,2046559.907
